Date,Open,High,Low,Close,Adj Close,Volume
2017-05-24,2.080000,2.170000,2.070000,2.160000,2.160000,4450724
2017-05-25,2.140000,2.200000,2.110000,2.180000,2.180000,4704863
2017-05-26,2.170000,2.270000,2.160000,2.250000,2.250000,7383609
2017-05-29,2.310000,2.350000,2.280000,2.330000,2.330000,6714991
2017-05-30,2.330000,2.480000,2.330000,2.440000,2.440000,9261870
2017-05-31,2.450000,2.460000,2.360000,2.440000,2.440000,13179784
2017-06-01,2.430000,2.490000,2.420000,2.470000,2.470000,8800666
2017-06-02,2.470000,2.620000,2.470000,2.560000,2.560000,17438305
2017-06-05,2.560000,2.580000,2.520000,2.530000,2.530000,6387906
2017-06-06,2.520000,2.590000,2.520000,2.550000,2.550000,6418154
2017-06-07,2.550000,2.570000,2.530000,2.530000,2.530000,5551254
2017-06-08,2.520000,2.560000,2.520000,2.550000,2.550000,3747023
2017-06-09,2.520000,2.550000,2.270000,2.370000,2.370000,20591808
2017-06-12,2.350000,2.460000,2.320000,2.440000,2.440000,7782808
2017-06-13,2.440000,2.530000,2.410000,2.480000,2.480000,6498019
2017-06-14,2.470000,2.480000,2.420000,2.420000,2.420000,6632520
2017-06-15,2.390000,2.450000,2.390000,2.430000,2.430000,5366262
2017-06-16,2.410000,2.500000,2.390000,2.470000,2.470000,15011239
2017-06-19,2.520000,2.590000,2.490000,2.590000,2.590000,10754456
2017-06-20,2.650000,2.670000,2.590000,2.610000,2.610000,9171486
2017-06-21,2.580000,2.580000,2.460000,2.480000,2.480000,9890211
2017-06-22,2.480000,2.510000,2.390000,2.390000,2.390000,10051662
2017-06-23,2.460000,2.500000,2.400000,2.470000,2.470000,6116918
2017-06-26,2.440000,2.490000,2.390000,2.440000,2.440000,6255526
2017-06-27,2.430000,2.440000,2.400000,2.410000,2.410000,2397533
2017-06-28,2.430000,2.470000,2.410000,2.450000,2.450000,3412367
2017-06-29,2.450000,2.455000,2.410000,2.420000,2.420000,2486014
2017-06-30,2.410000,2.420000,2.350000,2.360000,2.360000,5901579
2017-07-04,2.360000,2.400000,2.360000,2.400000,2.400000,1541726
2017-07-05,2.380000,2.400000,2.360000,2.370000,2.370000,2207204
2017-07-06,2.350000,2.360000,2.300000,2.320000,2.320000,5076600
2017-07-07,2.330000,2.330000,2.260000,2.330000,2.330000,6024716
2017-07-10,2.310000,2.400000,2.300000,2.370000,2.370000,3551293
2017-07-11,2.360000,2.370000,2.330000,2.370000,2.370000,2157635
2017-07-12,2.380000,2.400000,2.330000,2.340000,2.340000,2869736
2017-07-13,2.340000,2.350000,2.310000,2.350000,2.350000,2193506
2017-07-14,2.370000,2.380000,2.350000,2.370000,2.370000,1687918
2017-07-17,2.360000,2.380000,2.350000,2.360000,2.360000,1819539
2017-07-18,2.350000,2.370000,2.340000,2.360000,2.360000,2248192
2017-07-19,2.340000,2.360000,2.340000,2.360000,2.360000,1487315
2017-07-20,2.340000,2.400000,2.340000,2.390000,2.390000,2755253
2017-07-21,2.410000,2.420000,2.350000,2.350000,2.350000,6408264
2017-07-24,2.360000,2.380000,2.350000,2.380000,2.380000,1983801
2017-07-25,2.380000,2.410000,2.370000,2.400000,2.400000,4850549
2017-07-26,2.410000,2.420000,2.385000,2.400000,2.400000,2536539
2017-07-27,2.420000,2.430000,2.390000,2.410000,2.410000,4822533
2017-07-28,2.510000,2.570000,2.500000,2.520000,2.520000,15543577
2017-07-31,2.550000,2.560000,2.500000,2.510000,2.510000,3512952
2017-08-01,2.500000,2.550000,2.450000,2.530000,2.530000,5329349
2017-08-02,2.540000,2.670000,2.530000,2.670000,2.670000,9305375
2017-08-03,2.640000,2.650000,2.570000,2.570000,2.570000,6844255
2017-08-04,2.570000,2.620000,2.560000,2.600000,2.600000,4860563
2017-08-08,2.600000,2.630000,2.570000,2.620000,2.620000,3364503
2017-08-09,2.600000,2.615000,2.590000,2.600000,2.600000,2350531
2017-08-10,2.580000,2.590000,2.560000,2.570000,2.570000,2507343
2017-08-11,2.550000,2.570000,2.530000,2.560000,2.560000,2020961
2017-08-14,2.570000,2.650000,2.560000,2.630000,2.630000,5150548
2017-08-15,2.610000,2.660000,2.610000,2.650000,2.650000,5061214
2017-08-16,2.650000,2.670000,2.620000,2.620000,2.620000,3043569
2017-08-17,2.620000,2.640000,2.610000,2.630000,2.630000,2127363
2017-08-18,2.610000,2.660000,2.570000,2.660000,2.660000,6101467
2017-08-21,2.630000,2.660000,2.620000,2.630000,2.630000,1856775
2017-08-22,2.630000,2.630000,2.600000,2.600000,2.600000,1616090
2017-08-23,2.590000,2.620000,2.590000,2.600000,2.600000,1858418
2017-08-24,2.590000,2.600000,2.580000,2.580000,2.580000,1745526
2017-08-25,2.580000,2.600000,2.540000,2.550000,2.550000,3923635
2017-08-28,2.480000,2.540000,2.460000,2.530000,2.530000,3026015
2017-08-29,2.480000,2.520000,2.460000,2.460000,2.460000,4540340
2017-08-30,2.400000,2.460000,2.390000,2.440000,2.440000,4382525
2017-08-31,2.440000,2.520000,2.440000,2.500000,2.500000,3779395
2017-09-01,2.520000,2.520000,2.470000,2.470000,2.470000,1432565
2017-09-05,2.470000,2.470000,2.360000,2.370000,2.370000,5212086
2017-09-06,2.370000,2.465000,2.360000,2.430000,2.430000,4050006
2017-09-07,2.410000,2.430000,2.400000,2.400000,2.400000,1268598
2017-09-08,2.410000,2.420000,2.370000,2.380000,2.380000,1487190
2017-09-11,2.390000,2.410000,2.370000,2.410000,2.410000,2112164
2017-09-12,2.410000,2.450000,2.400000,2.420000,2.420000,4222745
2017-09-13,2.430000,2.440000,2.395000,2.400000,2.400000,3221583
2017-09-14,2.390000,2.440000,2.390000,2.420000,2.420000,3048833
2017-09-15,2.420000,2.450000,2.380000,2.380000,2.380000,22868232
2017-09-18,2.390000,2.420000,2.390000,2.400000,2.400000,2445455
2017-09-19,2.400000,2.415000,2.380000,2.400000,2.400000,1952718
2017-09-20,2.380000,2.410000,2.370000,2.390000,2.390000,2972664
2017-09-21,2.390000,2.400000,2.330000,2.370000,2.370000,13977908
2017-09-22,2.330000,2.350000,2.210000,2.230000,2.230000,9637228
2017-09-25,2.180000,2.210000,2.040000,2.140000,2.140000,14474585
2017-09-26,2.080000,2.430000,2.060000,2.270000,2.270000,20762646
2017-09-27,1.960000,2.150000,1.960000,2.100000,2.100000,24737600
2017-09-28,2.100000,2.270000,2.090000,2.210000,2.210000,10640575
2017-09-29,2.270000,2.290000,2.240000,2.260000,2.260000,7629522
2017-10-02,2.240000,2.250000,2.160000,2.180000,2.180000,4536692
2017-10-03,2.160000,2.210000,2.150000,2.190000,2.190000,4074562
2017-10-04,2.170000,2.220000,2.160000,2.220000,2.220000,3347324
2017-10-05,2.200000,2.220000,2.190000,2.190000,2.190000,2714391
2017-10-06,2.180000,2.210000,2.170000,2.210000,2.210000,3365589
2017-10-10,2.210000,2.250000,2.190000,2.250000,2.250000,4102265
2017-10-11,2.250000,2.350000,2.250000,2.350000,2.350000,7035979
2017-10-12,2.370000,2.370000,2.290000,2.320000,2.320000,5594729
2017-10-13,2.310000,2.350000,2.300000,2.330000,2.330000,2176168
